[2018-12-06T23:31:51.584Z] INFO    services.moleculer.logger.AsyncFileLogger        Directory of log files: C:\test-eclipse\workspace\moleculer-java-gradle-demo\log
[2018-12-06T23:31:51.572Z] INFO    org.springframework.context.support.AbstractApplicationContext Refreshing org.springframework.context.support.ClassPathXmlApplicationContext@66cd51c3: startup date [Fri Dec 07 00:31:51 CET 2018]; root of context hierarchy
[2018-12-06T23:31:51.650Z] INFO    org.springframework.beans.factory.xml.XmlBeanDefinitionReader  Loading XML bean definitions from class path resource [moleculer.config.xml]
[2018-12-06T23:31:52.243Z] INFO    org.springframework.beans.factory.xml.XmlBeanDefinitionReader  Loading XML bean definitions from class path resource [transporter/null.xml]
[2018-12-06T23:31:52.258Z] INFO    org.springframework.beans.factory.xml.XmlBeanDefinitionReader  Loading XML bean definitions from class path resource [cacher/memory.xml]
[2018-12-06T23:31:52.271Z] INFO    org.springframework.beans.factory.xml.XmlBeanDefinitionReader  Loading XML bean definitions from class path resource [monitor/sigar.xml]
[2018-12-06T23:31:52.280Z] INFO    org.springframework.beans.factory.xml.XmlBeanDefinitionReader  Loading XML bean definitions from class path resource [uid/incremental.xml]
[2018-12-06T23:31:52.291Z] INFO    org.springframework.beans.factory.xml.XmlBeanDefinitionReader  Loading XML bean definitions from class path resource [strategy/round-robin.xml]
[2018-12-06T23:31:52.298Z] INFO    org.springframework.beans.factory.xml.XmlBeanDefinitionReader  Loading XML bean definitions from class path resource [context/default.xml]
[2018-12-06T23:31:52.310Z] INFO    org.springframework.beans.factory.xml.XmlBeanDefinitionReader  Loading XML bean definitions from class path resource [registry/default.xml]
[2018-12-06T23:31:52.319Z] INFO    org.springframework.beans.factory.xml.XmlBeanDefinitionReader  Loading XML bean definitions from class path resource [eventbus/default.xml]
[2018-12-06T23:31:53.139Z] INFO    services.moleculer.ServiceBroker                               Starting Moleculer Service Broker (version 1.0.5)...
[2018-12-06T23:31:53.139Z] INFO    services.moleculer.ServiceBroker                               Default JSON deserializer/reader is "class io.datatree.dom.builtin.JsonBuiltin".
[2018-12-06T23:31:53.139Z] INFO    services.moleculer.ServiceBroker                               Default JSON serializer/writer is "class io.datatree.dom.builtin.JsonBuiltin".
[2018-12-06T23:31:53.139Z] INFO    services.moleculer.ServiceBroker                               Incremental UID Generator started.
[2018-12-06T23:31:53.139Z] INFO    services.moleculer.ServiceBroker                               Round-Robin Strategy Factory started.
[2018-12-06T23:31:53.139Z] INFO    services.moleculer.ServiceBroker                               Default Context Factory started.
[2018-12-06T23:31:53.139Z] INFO    services.moleculer.ServiceBroker                               Default Service Invoker started.
[2018-12-06T23:31:53.139Z] INFO    services.moleculer.ServiceBroker                               Default Event Bus started.
[2018-12-06T23:31:53.139Z] INFO    services.moleculer.ServiceBroker                               Default Service Registry started.
[2018-12-06T23:31:53.139Z] INFO    services.moleculer.ServiceBroker                               On-heap Memory Cacher started.
[2018-12-06T23:31:53.140Z] INFO    services.moleculer.cacher.MemoryCacher                         Maximum number of cached entries is 2048 per partition.
[2018-12-06T23:31:53.170Z] INFO    services.moleculer.service.DefaultServiceRegistry              Local action "$node.actions" registered.
[2018-12-06T23:31:53.171Z] INFO    services.moleculer.service.DefaultServiceRegistry              Local action "$node.events" registered.
[2018-12-06T23:31:53.171Z] INFO    services.moleculer.service.DefaultServiceRegistry              Local action "$node.health" registered.
[2018-12-06T23:31:53.171Z] INFO    services.moleculer.service.DefaultServiceRegistry              Local action "$node.list" registered.
[2018-12-06T23:31:53.171Z] INFO    services.moleculer.service.DefaultServiceRegistry              Local action "$node.services" registered.
[2018-12-06T23:31:53.171Z] INFO    services.moleculer.service.DefaultServiceRegistry              Local service "$node" started with 5 actions.
[2018-12-06T23:31:53.171Z] INFO    services.moleculer.ServiceBroker                               Node "node-1" started successfully.
[2018-12-06T23:31:53.174Z] INFO    services.moleculer.service.DefaultServiceRegistry              Local action "listener.getCounter" registered.
[2018-12-06T23:31:53.174Z] INFO    services.moleculer.service.DefaultServiceRegistry              Local service "listener" started with 1 action.
[2018-12-06T23:31:53.174Z] INFO    services.moleculer.config.SpringRegistrator                    Service "listener" registered.
[2018-12-06T23:31:53.174Z] INFO    services.moleculer.service.DefaultServiceRegistry              Local action "greeter.hello" registered.
[2018-12-06T23:31:53.174Z] INFO    services.moleculer.service.DefaultServiceRegistry              Local action "greeter.welcome" registered.
[2018-12-06T23:31:53.175Z] INFO    services.moleculer.service.DefaultServiceRegistry              Local service "greeter" started with 2 actions.
[2018-12-06T23:31:53.175Z] INFO    services.moleculer.config.SpringRegistrator                    Service "greeter" registered.
[2018-12-06T23:31:53.175Z] INFO    services.moleculer.service.DefaultServiceRegistry              Local action "math.add" registered.
[2018-12-06T23:31:53.175Z] INFO    services.moleculer.service.DefaultServiceRegistry              Local service "math" started with 1 action.
[2018-12-06T23:31:53.175Z] INFO    services.moleculer.config.SpringRegistrator                    Service "math" registered.
